Time(s) ForceMagnitude
1.46225 0.0527911
1.47711 61.3996
1.49717 117.713
1.51152 168.92
1.52948 214.515
1.54462 251.959
1.56431 283.656
1.57867 310.434
1.59689 1287.91
1.61191 6648.09
1.63166 15545.2
1.64626 20216.5
1.6616 32935.8
1.67833 46098.8
1.69515 60343.3
1.70959 55232.2
1.73084 65255.5
1.7449 64377.3
1.76078 65829.4
1.77596 64870.7
1.78925 61688
1.80422 59374
1.81753 54437.9
1.83139 50410.3
1.84554 46147.5
1.86194 48340.7
1.87675 46065.5
1.88928 38179.5
1.90284 35367.9
1.91565 28970
1.93198 22426.8
1.94555 22934.6
1.96356 24273.7
1.97726 22844.8
1.99351 20368.1
2.01057 18815.3
2.03317 15624.3
2.04602 15633.6
2.06131 14760.6
2.07646 14321.3
2.09303 11663.6
2.10593 12695.8
2.11944 13528.7
2.13239 26154.9
2.14616 35287.7
2.15954 35982.3
2.17234 34093
2.1866 28303.8
2.20134 23569.8
2.2149 23524.8
2.22839 21480.5
2.24438 20036
2.26005 18928.2
2.27667 18690.8
2.29364 17251.4
2.3096 19470.3
2.32717 25377.9
2.34208 25239.7
2.36001 24741.4
2.37519 24064.5
2.38803 28445.3
2.4014 29844.9
2.41503 33391.8
