t,force_x,force_y,force_z,force_mag,disp_x,disp_y,disp_z,disp_mag
0.000223958,-40.4215,15.3489,32.4512,54.0607,-0.00505269,0.00191861,0.00405639,0.00675759
0.0134764,-39.4385,50.5655,31.9605,71.6501,-0.00492981,0.00632069,0.00399506,0.00895627
0.038291,-38.2072,115.9,31.6901,126.083,-0.0047759,0.0144875,0.00396127,0.0157603
0.0519108,-36.5375,149.979,31.8346,157.614,-0.00456719,0.0187474,0.00397933,0.0197017
0.0649697,-34.531,181.563,32.3625,187.63,-0.00431637,0.0226954,0.00404531,0.0234537
0.0837225,-32.2756,227.171,33.3438,231.862,-0.00403444,0.0283964,0.00416797,0.0289828
0.0970393,-29.8022,256.832,34.904,260.9,-0.00372528,0.0321039,0.004363,0.0326125
0.112802,-27.1826,291.87,36.9802,295.456,-0.00339782,0.0364837,0.00462252,0.0369321
0.133402,-24.4386,338.555,39.608,341.739,-0.00305483,0.0423193,0.004951,0.0427173
0.146798,-21.5658,364.581,42.8782,367.727,-0.00269572,0.0455726,0.00535977,0.0459658
0.173403,-18.6049,424.819,46.6681,427.779,-0.00232561,0.0531023,0.00583351,0.0534724
0.187813,-15.5168,450.865,51.199,454.027,-0.00193959,0.0563581,0.00639987,0.0567534
0.20049,-12.351,471.34,56.2468,474.844,-0.00154388,0.0589174,0.00703084,0.0593555
0.215447,-9.13143,497.038,61.7394,500.941,-0.00114143,0.0621297,0.00771743,0.0626176
0.228324,-5.88059,516.347,67.6551,520.794,-0.000735074,0.0645434,0.00845689,0.0650992
0.241731,-2.61903,536.468,73.9055,541.541,-0.000327379,0.0670585,0.00923818,0.0676927
0.255769,0.646591,557.735,80.44,563.507,8.08239e-05,0.0697169,0.010055,0.0704383
0.26912,3.89647,576.695,87.2436,583.27,0.000487059,0.0720868,0.0109054,0.0729087
0.285425,7.13873,603.169,94.2378,610.528,0.000892341,0.0753962,0.0117797,0.0763161
0.300723,10.3629,626.508,101.467,634.756,0.00129536,0.0783135,0.0126833,0.0793445
0.314994,13.5608,646.762,108.87,656.001,0.0016951,0.0808453,0.0136087,0.0820002
0.329305,16.7246,666.853,116.407,677.143,0.00209057,0.0833566,0.0145509,0.0846429
0.345836,19.8514,692.613,124.059,703.916,0.00248143,0.0865766,0.0155074,0.0879894
0.362587,22.9504,718.66,131.833,731.012,0.0028688,0.0898325,0.0164791,0.0913765
0.379143,26.0317,743.923,139.719,757.378,0.00325397,0.0929904,0.0174649,0.0946722
0.396011,29.0825,769.762,147.698,784.343,0.00363532,0.0962202,0.0184622,0.0980428
0.408491,32.1002,783.654,155.746,799.625,0.00401253,0.0979567,0.0194683,0.0999532
0.422094,35.0549,800.511,163.754,817.84,0.00438187,0.100064,0.0204692,0.10223
0.435597,37.941,817.023,171.701,835.731,0.00474262,0.102128,0.0214626,0.104466
0.450041,40.7486,836.034,179.531,856.064,0.00509357,0.104504,0.0224414,0.107008
0.467347,43.4687,862.658,187.225,883.811,0.00543359,0.107832,0.0234032,0.110476
0.481692,46.1161,881.264,194.833,903.722,0.00576451,0.110158,0.0243542,0.112965
0.498391,48.6937,906.155,202.284,929.735,0.00608671,0.113269,0.0252855,0.116217
0.515208,51.1804,931.251,209.608,955.92,0.00639755,0.116406,0.026201,0.11949
0.529087,53.5827,948.419,216.787,974.354,0.00669783,0.118552,0.0270984,0.121794
0.547701,55.8972,978.217,223.769,1005.04,0.00698715,0.122277,0.0279711,0.12563
0.563676,58.1448,1000.8,230.628,1028.67,0.0072681,0.1251,0.0288285,0.128584
0.581461,60.333,1028.14,237.307,1056.89,0.00754163,0.128517,0.0296634,0.132111
