vertex,x,y,z
1,-0.644355,0.801371,0.951123
2,0.151198,-0.264301,0.134942
3,0.124536,-0.390848,0.329929
4,0.0302489,-0.202698,0.425788
5,0.0411878,-0.264301,0.173224
6,-0.481536,-0.00545817,0.572107
7,-0.540567,0.0948653,0.833716
8,-0.460359,0.346001,0.706058
9,-0.607218,0.25013,0.725723
10,-0.584412,0.586576,0.806796
11,-0.4476,0.700176,0.587719
12,-0.425016,0.582216,0.777452
13,-0.623295,0.355361,0.378666
14,-0.58968,-0.0996464,0.375552
15,-0.781637,0.211309,0.632364
16,-0.707055,0.107348,0.317215
17,-0.177558,-0.264301,0.0177209
18,-0.150198,-0.264301,-0.104699
19,-0.295057,0.0826278,0.154844
20,-0.142461,0.00856463,0.0165152
21,0.144041,-0.264301,-0.0139542
22,0.0726397,-0.0664042,0.0391412
23,0.232959,-0.244053,0.0212527
24,0.0744116,0.233152,0.0978757
25,0.244763,0.338769,-0.122207
26,0.217193,0.398919,0.0849919
27,0.215016,0.14386,0.0440749
28,-0.755678,1.38751,0.596185
29,-0.755691,1.16585,0.438084
30,-0.598736,1.35259,0.425445
31,-0.604728,1.08008,0.399373
32,-0.225292,0.34274,0.176476
33,-0.177438,0.140805,0.237163
34,-0.473782,1.05642,0.577698
35,-0.412144,0.873155,0.308119
36,-0.285909,1.03294,0.335842
37,-0.354131,0.91845,0.561173
38,0.34721,-0.210428,-0.11438
39,0.493971,-0.242837,-0.111907
40,0.458472,0.0169559,-0.152834
41,0.326774,-0.0917748,0.0430457
42,0.0307127,0.367822,-0.0488788
43,0.0948955,0.0877367,-0.0799295
44,0.000101482,-0.264301,-0.0803235
45,-0.0155363,0.0649344,-0.0745408
46,0.0390491,-0.264301,-0.185028
47,-0.0591003,-0.264301,-0.181032
48,0.026402,-0.0727096,0.344449
49,0.141311,-0.261908,0.374492
50,0.221194,-0.196662,0.234061
51,-0.817483,-0.0606294,0.670735
52,-0.816054,-0.281751,0.908662
53,-0.648621,-0.24053,0.612555
54,-0.695375,0.0474124,0.718116
55,0.0668095,0.26795,-0.285878
56,0.0645789,-0.179658,-0.368758
57,0.195464,0.191058,-0.328779
58,-0.474232,1.39685,0.205787
59,-0.44911,1.21763,0.366305
60,0.790804,0.367595,-0.254857
61,0.820283,0.63853,-0.369146
62,0.73423,0.548092,-0.378138
63,0.772861,0.598717,-0.154934
64,0.0874205,0.695923,-0.160257
65,-0.115375,0.614495,0.0729547
66,0.015239,0.692283,0.0604846
67,-0.739585,0.814521,1.20545
68,-0.803724,0.599744,1.16537
69,-0.935642,0.867344,1.15374
70,-0.765847,0.736271,0.949771
71,-0.669463,0.328473,0.999195
72,-0.506018,0.347397,0.907758
73,-0.264729,1.24106,0.0797715
74,-0.557016,0.141753,0.511906
75,-0.476941,0.238637,0.298677
76,-0.406616,-0.0410397,0.339395
77,-0.573465,0.838904,0.953489
78,-0.521618,0.683501,1.04494
79,-0.441176,0.750327,0.868187
80,0.656223,0.209968,0.37951
81,0.478318,0.199259,0.433021
82,0.676907,0.362683,0.288408
83,0.553962,0.314277,0.265747
84,-0.930092,0.576916,0.931666
85,-0.821049,0.270382,0.854898
86,-0.774369,0.517716,0.608619
87,-0.738035,0.48297,0.826736
88,0.260696,0.00719375,-0.0813207
89,0.284941,0.075752,-0.254804
90,0.602095,0.598807,-0.317747
91,0.613137,0.860641,-0.217301
92,0.565836,0.620471,-0.126955
93,0.712067,0.700933,-0.310806
94,0.0838922,0.960981,-0.059514
95,0.00304291,0.918364,0.0915788
96,-0.0208311,0.864793,-0.0948511
97,0.422878,0.585572,-0.27012
98,0.388132,0.549083,-0.0263147
99,0.511634,0.754087,-0.229568
100,0.282989,0.632757,-0.0175341
101,0.00564917,0.00765198,0.513858
102,0.00460332,0.187518,0.368954
103,-0.14801,0.0982268,0.613541
104,0.0206932,-0.264301,0.0611347
105,-0.0740612,-0.0334284,0.0923563
106,-0.190611,-0.0996694,0.175612
107,-0.104339,-0.131275,0.277805
108,0.641749,0.423051,0.471353
109,0.447136,0.431957,0.538427
110,0.680703,0.531416,0.284605
111,0.307134,0.0159537,0.223119
112,0.14825,-0.00521481,0.161854
113,0.142347,-0.0192806,0.342239
114,0.171528,0.236085,0.262089
115,0.568483,0.149608,-0.34244
116,0.715535,-0.0950405,-0.454624
117,0.708869,0.172998,-0.509271
118,0.701732,0.0584331,-0.35046
119,-0.218985,0.377883,0.325756
120,-0.107083,0.269558,0.0969588
121,-0.0606643,0.419329,0.14034
122,0.500395,0.558611,0.31666
123,0.389339,0.368149,0.328696
124,0.534244,-0.129905,-0.334427
125,0.686862,-0.0258219,-0.571476
126,0.566972,0.134982,-0.475298
127,-0.820994,1.01906,0.667525
128,-0.721867,0.998688,0.705978
129,0.399864,0.610831,0.277393
130,0.552862,0.46623,0.152336
131,-0.126999,0.81238,-0.10271
132,-0.211045,0.864718,0.113747
133,-0.0879257,0.89446,0.0437026
134,0.334757,0.228373,0.0271777
135,0.474951,0.421285,0.0769859
136,0.349971,0.200556,0.216329
137,0.477612,0.249809,-0.0429119
138,-0.0786304,1.07665,-0.0104948
139,-0.12108,0.988435,-0.0438229
140,0.647435,0.788189,-0.109257
141,-0.994417,0.409056,1.20072
142,-0.968,0.279705,0.932731
143,-1.01488,0.143164,1.134
144,-0.800744,0.87445,0.474868
145,-0.652498,0.578293,0.238731
146,-0.84316,0.296132,0.291421
147,-0.744914,0.707288,0.102087
148,-0.574185,0.561505,-0.0132043
149,-0.59684,0.791566,0.656035
150,-0.643744,0.765843,0.449951
151,-0.728927,0.70747,0.684951
152,-0.572451,0.918505,0.548095
153,0.455228,0.681248,0.141893
