Time Force
4.5875e-05 0.567082
0.0183608 6833.41
0.0310558 7457.96
0.0475203 6925.3
0.0675321 7336.88
0.0802709 7780.07
0.0937095 8547.63
0.106314 9343.15
0.120433 10346.9
0.132873 11118.1
0.149376 12312.2
0.165412 13350.9
0.180952 14261.4
0.193559 14737.6
0.207645 15315.3
0.220505 15677
0.234067 16070
0.249131 16587.7
0.266088 17286.1
0.282292 17833.4
0.299064 18413.8
0.313666 18651.6
0.326301 18645.5
0.338538 18558.3
0.350832 18473
0.365696 18673.6
0.383031 19126.8
0.398958 19405.3
0.416115 19800.6
0.432074 20043.3
0.448355 20288.4
0.464223 20439.8
0.476558 20203.4
0.489829 20040.9
0.502524 19811.8
0.514916 19563.4
0.527053 19302.6
0.54028 19176.5
0.553508 19059
0.566555 18940.2
0.583223 19216.6
0.59894 19385.2
0.616269 19741.1
0.632147 19920.8
0.656013 20969.4
0.669473 12979.9
0.682622 8569.25
0.698146 6699.42
0.715784 5949.9
0.732853 6078.35
0.749247 6957.44
0.765725 8036.47
0.781328 9017.77
0.793649 9615.37
0.806594 10165.6
0.819048 10607.2
0.832019 11013.9
0.851202 11937.2
0.864605 12286
0.881388 12884.3
0.897914 13417.4
0.914577 13912.9
0.929982 14252.4
0.942888 14322.5
0.956138 14397.6
0.96851 14373.7
0.982085 14445
1.00008 14906.8
1.01472 15041.5
1.02699 14932.1
1.04013 14915.2
1.0531 14880.4
1.06609 14833.8
1.08446 15268.1
1.10237 15646.8
1.115 15545.1
1.13298 15916
1.14921 16114.3
1.16637 16373.1
1.18131 16421
1.1937 16221
1.20754 16144.9
1.22061 16007.3
1.23355 15868.8
1.2493 15983.7
1.26605 16198.7
1.2819 16292
1.3001 16613.8
1.31485 16621.7
1.33303 16909.5
1.34828 16930.4
1.36462 17043.5
1.38059 17127.8
1.39312 16879.9
1.40608 16675.2
1.41903 16474.5
1.43163 16255.7
1.45035 16599.6
1.46513 16591.5
1.48274 16833.1
1.49641 16717.9
1.50902 11841
1.52308 21060.3
1.53592 26687.6
1.54895 39528.5
1.56812 48767.6
1.58097 53567.9
1.59314 55196.9
1.60577 54724
1.61858 52984.2
1.63195 50517.6
1.65065 48223
1.66531 45509.3
1.68141 42926.7
1.69802 40505.8
1.71636 38316.6
1.73025 36022.2
1.74286 33785.4
1.75633 31799
1.76905 29923.4
1.78225 28233.4
1.80052 27108.4
1.81561 25862.2
1.8327 24904.7
1.84946 24016.2
1.86525 23166.2
1.88266 22535.3
1.89686 21684.4
1.90901 20777.1
1.92189 20006.2
1.93424 19268.9
1.94838 18722
1.96635 18560.7
1.98158 18200.1
1.99897 18044.9
