Time Force
5.52083e-05 0.699575
0.0201332 3093.02
0.0331488 4885.56
0.0483844 6794.56
0.0649605 8651.08
0.0823011 10345.3
0.0985191 11571
0.114383 12496.4
0.130145 13188.2
0.143378 13332.1
0.156592 13342.9
0.169367 13229.1
0.1818 13030.2
0.200428 13753.9
0.215598 13925.9
0.233091 14372
0.248783 14550.6
0.266724 15033.8
0.281779 15063.4
0.30004 15511.3
0.315972 15599.6
0.338582 16577
0.35179 16200.5
0.36592 15949.9
0.38158 15912.1
0.393939 15454.5
0.407009 15135
0.419191 14746.7
0.432086 14510.7
0.449751 14925.1
0.466052 15167.4
0.482393 15420.9
0.499633 15778.7
0.515952 15993.6
0.531798 16131
0.549424 16460.1
0.564853 16491.8
0.581977 16729.2
0.598365 16848.4
0.61064 16441.1
0.624203 16188.6
0.636982 15870.1
0.649679 15575.4
0.667285 15921.3
0.682846 16000.2
0.699931 16304.1
0.716215 16493.5
0.732479 16638.6
0.750016 16965.2
0.7661 17070
0.782933 17242
0.80415 17935.4
0.816485 17499.6
0.830226 10731.1
0.84363 9539.83
0.861336 13710.3
0.877442 16800.4
0.892646 17737.4
0.905985 17250.2
0.918694 15887.7
0.932065 14053.6
0.948707 12004.8
0.965209 10014.9
0.983293 8316.84
1.00044 7065.17
1.01708 6359.93
1.03326 6180.7
1.05037 6483.33
1.07451 7693.52
1.09588 8715.42
1.11708 9683.07
1.13337 10107.7
1.15332 10830.7
1.17179 11343.5
1.18735 11528.6
1.20109 11519
1.21584 11592.1
1.23405 11970.1
1.24851 12003.6
1.26833 12515.7
1.28303 12537.6
1.30042 12801.5
1.31548 12842.4
1.33296 13090.2
1.35013 13271.8
1.36573 13312.1
1.38331 13534.3
1.39674 13370.3
1.4108 13256
1.42414 13078.8
1.44068 13198.7
1.45415 13051.4
1.46753 12898.8
1.48327 12967.4
1.50044 13151.3
1.51678 13259.1
1.53238 13317.9
1.54816 13376.7
1.56508 13534.9
1.58208 13665.1
1.59891 13779.9
1.61581 13885.8
1.63144 13884
1.64809 13943.8
1.66371 13912.2
1.67617 13631.5
1.68924 13421.7
1.7047 13385.4
1.717 13107.7
1.73522 13352.3
1.74848 13203
1.7649 13315.9
1.78249 13517.4
1.80727 14294.5
1.82263 14253.7
1.83695 14144.6
1.85396 14245.4
1.8705 14295.2
1.88652 14295.8
1.90237 14257.6
1.91897 14295.7
1.93321 14136.2
1.95231 14377.1
1.97164 14649
1.99264 15038.7
