Time(s) ForceMagnitude
7.91667e-05 4.87608
0.0267277 6875.73
0.04949 12414.6
0.0781193 19037
0.112519 26658.5
0.144682 33208.5
0.165388 36425.9
0.184517 38854.8
0.211851 43400.1
0.229684 45224.3
0.248567 47466.9
0.268394 49989.6
0.291916 53432.6
0.312356 55962.2
0.332668 58614.7
0.365856 64714.9
0.394554 69426
0.478613 87761.2
0.513187 92564.6
0.544515 96024.4
0.574554 98858.3
0.599466 100323
0.626671 102385
0.644633 102183
0.66253 102063
0.6808 102185
0.69805 102146
0.715503 102230
0.732976 102409
0.750451 102612
0.767708 102824
0.79 104294
0.812413 105778
0.828813 105730
0.846119 105928
0.8632 106111
0.880404 106369
0.898189 106833
0.928197 110319
0.946984 110887
0.966442 111598
0.995241 114608
1.01177 114553
1.03167 115308
1.06062 118309
1.08247 119504
1.1107 122202
1.12832 122253
1.14735 122671
1.16732 123381
1.19544 126089
1.24409 133663
1.26297 133774
1.28168 133749
1.30023 133736
1.3167 133323
1.3337 133147
1.35079 133123
1.36767 133158
1.38423 133142
1.41108 135650
1.42815 135780
1.45808 139019
1.47912 140049
1.49657 140183
1.51321 140163
1.53067 140394
1.54693 140448
1.56461 140876
1.5824 141402
1.60009 141963
1.61685 142318
1.63434 142859
1.66182 145793
1.68199 146949
1.69994 147533
1.72876 150645
1.74681 151195
1.76391 151531
1.78212 152151
1.79919 152515
1.81694 153114
1.83439 153690
1.85135 154236
1.87439 156188
1.89623 157836
1.91385 158506
1.93156 159185
1.94755 159524
1.96393 159982
1.98002 160426
1.99716 161133
