Time(s) ForceMagnitude
8.1875e-05 4.55281
0.0343445 8663.96
0.0555215 13487.2
0.11749 28165.5
0.139259 31570.5
0.166957 35855.8
0.189406 38330
0.215243 41407.9
0.249872 46542.2
0.272839 48439.8
0.313818 54823.4
0.363419 63062.4
0.401572 67883.3
0.465174 78753
0.504613 82794.7
0.534735 84052.3
0.572 87005.9
0.590793 85169.1
0.616458 85289.9
0.635125 83853
0.652905 82557.6
0.671278 81762.8
0.688127 80874.5
0.705418 80368.2
0.723083 80174.3
0.75008 82488.8
0.769535 82895.1
0.786473 82691.3
0.803918 82650.6
0.821616 82726.7
0.838975 82790.6
0.856557 82988
0.879349 84533.8
0.896779 84713.2
0.916859 85569.7
0.934651 85862.6
0.951636 85959.2
0.969252 86242.6
0.986046 86370.7
1.01327 89144.1
1.05342 95014.6
1.08045 97303.3
1.11872 102133
1.137 101640
1.15587 101179
1.18322 102913
1.2043 103120
1.23534 105820
1.25705 106156
1.28111 107092
1.30085 107015
1.31827 106456
1.33562 105975
1.35258 105558
1.36939 105233
1.38681 105234
1.4047 105456
1.42195 105608
1.44027 106087
1.45757 106355
1.48247 108497
1.50003 108788
1.51835 109275
1.53512 109372
1.55246 109659
1.58121 112748
1.6179 117681
1.64629 120301
1.66824 121165
1.68561 120803
1.70404 120730
1.72126 120471
1.73917 120496
1.76686 123021
1.78562 123403
1.80323 123521
1.8233 124306
1.85067 126860
1.86741 126796
1.88598 127207
1.90259 127226
1.91946 127365
1.93791 127979
1.95634 128634
1.97373 129077
1.99612 130759
