Time(s) ForceMagnitude
0.000102333 7.89267
0.0183175 11058.3
0.0365269 21672.1
0.0562535 32447.9
0.0745915 41918.9
0.0915643 50146.6
0.114538 60787.5
0.131782 68114.9
0.150784 75888.8
0.167788 82303.8
0.185387 88697.3
0.202363 94493.2
0.220793 100760
0.238877 106638
0.257171 112371
0.280971 120551
0.298889 125576
0.315706 129860
0.336627 135990
0.356435 141364
0.381317 149034
0.406678 156678
0.435279 165589
0.457436 171084
0.482732 177835
0.519839 190023
0.547914 197429
0.568287 200894
0.585939 202949
0.602151 204332
0.619042 206160
0.635361 207868
0.652368 210017
0.669001 212114
0.685302 214125
0.702596 216654
0.723989 221154
0.74843 227012
0.770252 231570
0.789607 234820
0.814256 240480
0.898477 273745
0.948135 289656
0.987534 299790
1.00595 299737
1.0241 299620
1.04128 299271
1.0645 302083
1.08222 302693
1.09913 303125
1.11599 303781
1.13319 304776
1.15155 306544
1.16818 307670
1.18647 309679
1.20675 312732
1.23031 317172
1.26495 326657
1.28397 328935
1.30292 331060
1.3205 332719
1.33781 334330
1.35644 336640
1.37408 338601
1.39799 343409
1.41552 345409
1.43323 347537
1.45174 350108
1.46839 351946
1.48615 354387
1.50397 356847
1.52165 359406
1.53888 361750
1.55597 364108
1.57445 367011
1.59763 372139
1.61526 374764
1.63265 377266
1.65069 380133
1.66826 382775
1.68555 385386
1.70264 387930
1.71963 390504
1.7372 393371
1.75421 395967
1.77172 398867
1.79071 402424
1.80852 405470
1.82461 407668
1.84114 410147
1.86471 415616
1.88319 418879
1.90155 422119
1.91805 424509
1.93408 426736
1.95279 430209
