Index: 299, X: -0.365227, Y: -0.298132, Z: 0.0590074
Index: 172, X: -0.629953, Y: -0.132151, Z: 0.264301
Index: 236, X: -0.601175, Y: -0.226865, Z: 0.0676726
Index: 196, X: -0.629953, Y: -0.132151, Z: -0.264301
Index: 259, X: -0.441582, Y: -0.367962, Z: 0.171955
Index: 216, X: -0.386495, Y: -0.275014, Z: 0.261906
Index: 65, X: -0.447142, Y: -0.220143, Z: -0.270605
Index: 193, X: -0.536839, Y: -0.237732, Z: -0.0497396
Index: 25, X: -0.217486, Y: -0.0790915, Z: -0.234496
Index: 153, X: -0.501541, Y: -0.312026, Z: 0.275331
Index: 274, X: -0.321588, Y: -0.250897, Z: 0.167326
Index: 338, X: -0.447247, Y: -0.223358, Z: 0.159016
Index: 251, X: -0.428996, Y: -0.186585, Z: -0.158805
Index: 59, X: -0.593463, Y: -0.410667, Z: 0.0315342
Index: 242, X: -0.650197, Y: -0.339965, Z: -0.0642322
Index: 214, X: -0.629953, Y: 0.264301, Z: -0.132151
Index: 341, X: -0.492595, Y: 0.0691749, Z: -0.00542464
Index: 78, X: -0.629953, Y: 0.135108, Z: -0.173305
Index: 240, X: -0.442697, Y: 0.126065, Z: -0.155563
Index: 76, X: -0.629953, Y: -0.125149, Z: 0.158391
Index: 204, X: -0.178975, Y: -0.138794, Z: -0.0958506
Index: 267, X: -0.459028, Y: 0.0304983, Z: -0.133022
Index: 182, X: -0.485881, Y: -0.30821, Z: 0.0818367
Index: 54, X: -0.284774, Y: -0.0190555, Z: -0.0214517
Index: 192, X: -0.330297, Y: -0.123689, Z: -0.1089
Index: 212, X: -0.190859, Y: -0.131259, Z: 0.0162055
Index: 252, X: -0.479507, Y: 0.0272685, Z: 0.135277
Index: 188, X: -0.659905, Y: -0.327804, Z: 0.122164
Index: 102, X: -0.637005, Y: -0.349099, Z: 0.296363
Index: 194, X: -0.601447, Y: -0.404572, Z: 0.174407
Index: 223, X: -0.545238, Y: -0.280942, Z: 0.168208
Index: 111, X: -0.374008, Y: 0.0802467, Z: -0.226366
Index: 334, X: -0.466081, Y: -0.42331, Z: 0.0707179
Index: 149, X: -0.629953, Y: 0.130372, Z: 0.0805764
Index: 270, X: -0.308624, Y: 0.0156288, Z: -0.133849
Index: 77, X: -0.379018, Y: 0.0770252, Z: 0.225231
Index: 138, X: -0.460577, Y: 0.0255471, Z: 0.24353
Index: 245, X: -0.629953, Y: 0.177787, Z: 0.183898
Index: 235, X: -0.512908, Y: -0.0358967, Z: 0.0259077
Index: 43, X: -0.405124, Y: -0.131365, Z: 0.251639
Index: 282, X: -0.237872, Y: -0.265684, Z: -0.0343031
Index: 225, X: -0.34586, Y: -0.0642519, Z: 0.240965
Index: 161, X: -0.291327, Y: -0.206403, Z: 0.247138
Index: 249, X: -0.473626, Y: -0.32237, Z: -0.0336842
Index: 279, X: -0.297802, Y: -0.15507, Z: 0.0431664
Index: 136, X: -0.629953, Y: 0.00297157, Z: 0.123581
Index: 287, X: -0.568193, Y: -0.155043, Z: 0.162863
Index: 344, X: -0.577475, Y: -0.114975, Z: 0.00990009
Index: 203, X: -0.499342, Y: -0.0906261, Z: 0.132065
Index: 340, X: -0.629953, Y: 0.127106, Z: -0.0513446
Index: 211, X: -0.629953, Y: 0.132151, Z: -0.264301
Index: 15, X: -0.629953, Y: 0, Z: 0.264301
Index: 303, X: -0.629953, Y: 0.0225277, Z: -0.118783
Index: 237, X: -0.566698, Y: -0.167663, Z: -0.163251
Index: 190, X: -0.629953, Y: -0.264301, Z: -0.132151
Index: 198, X: -0.575544, Y: -0.222672, Z: -0.285078
Index: 292, X: -0.231035, Y: -0.186855, Z: 0.162163
Index: 227, X: -0.403763, Y: -0.0499908, Z: 0.0296546
Index: 154, X: -0.500067, Y: -0.0706382, Z: -0.0780253
Index: 296, X: -0.400452, Y: -0.0257161, Z: -0.0352765
Index: 266, X: -0.364806, Y: -0.107413, Z: 0.136748
Index: 197, X: -0.365607, Y: -0.29925, Z: -0.262398
Index: 226, X: -0.452966, Y: -0.33516, Z: -0.151334
Index: 73, X: -0.419527, Y: -0.180222, Z: 0.00590119
Index: 291, X: -0.283876, Y: -0.0138361, Z: 0.157727
Index: 199, X: -0.248159, Y: -0.0626586, Z: 0.083273
Index: 243, X: -0.547504, Y: -0.281109, Z: -0.170069
Index: 6, X: -0.629953, Y: -0.264301, Z: 0.264301
Index: 187, X: -0.573791, Y: -0.215327, Z: 0.279826
Index: 71, X: -0.629953, Y: -0.115731, Z: -0.112169
Index: 148, X: -0.456168, Y: -0.0466038, Z: -0.250002
Index: 151, X: -0.322051, Y: -0.20744, Z: -0.252067
Index: 233, X: -0.309808, Y: -0.306331, Z: -0.156756
Index: 308, X: -0.497246, Y: -0.199112, Z: 0.0545722
Index: 13, X: -0.217792, Y: -0.0751825, Z: 0.230634
Index: 82, X: -0.635354, Y: -0.352232, Z: -0.295745
Index: 321, X: -0.36171, Y: -0.304808, Z: -0.0663931
Index: 12, X: -0.555911, Y: -0.450906, Z: -0.287478
Index: 164, X: -0.588735, Y: -0.4157, Z: -0.138187
Index: 221, X: -0.52299, Y: -0.321617, Z: -0.280027
Index: 137, X: -0.629953, Y: 0.264301, Z: 0.132151
Index: 83, X: -0.629953, Y: 0.132151, Z: 0.264301
Index: 224, X: -0.629953, Y: 0.0899812, Z: 0.181368
Index: 117, X: -0.390868, Y: 0.0736663, Z: 0.0735958
Index: 343, X: -0.629953, Y: -0.0671998, Z: 0.0726585
Index: 166, X: -0.319424, Y: -0.0750572, Z: -0.240627
Index: 232, X: -0.424128, Y: 0.102567, Z: -0.0626361
Index: 205, X: -0.548087, Y: -0.117067, Z: -0.265518
Index: 22, X: -0.629953, Y: 0, Z: -0.264301
Index: 301, X: -0.534678, Y: -0.0743871, Z: 0.260215
Index: 317, X: -0.473688, Y: -0.196774, Z: 0.266526
Index: 297, X: -0.227776, Y: -0.176831, Z: -0.242479
Index: 155, X: -0.629953, Y: -0.264301, Z: 0.132151
Index: 70, X: -0.629953, Y: -0.00777298, Z: 0.000960149
Index: 167, X: -0.629953, Y: -0.139396, Z: 0.0332248
Index: 26, X: -0.555507, Y: -0.45132, Z: 0.288071
Index: 256, X: -0.193097, Y: -0.119022, Z: 0.164345
Index: 1, X: -0.629953, Y: 0.264301, Z: -0.264301
Index: 248, X: -0.531948, Y: -0.492182, Z: -0.172642
Index: 5, X: -0.629953, Y: -0.264301, Z: -0.264301
Index: 191, X: -0.420922, Y: -0.39309, Z: -0.270752
Index: 174, X: -0.535794, Y: -0.490986, Z: -0.0461786
Index: 30, X: -0.629953, Y: -0.264301, Z: 0
Index: 0, X: -0.629953, Y: 0.264301, Z: 0.264301
Index: 156, X: -0.539124, Y: -0.494887, Z: 0.11749
Index: 38, X: -0.629953, Y: 0.264301, Z: 0
Index: 362, X: -0.18792, Y: -0.132779, Z: 0.0163355
Index: 177, X: -0.483506, Y: -0.579105, Z: -0.109324
Index: 346, X: -0.363413, Y: -0.109887, Z: 0.136171
Index: 33, X: -0.497379, Y: -0.558054, Z: 0.0202181
Index: 355, X: -0.539248, Y: -0.491981, Z: 0.117908
Index: 228, X: -0.376797, Y: -0.540487, Z: -0.0791547
Index: 28, X: -0.303665, Y: -0.368227, Z: -0.257685
Index: 347, X: -0.321037, Y: -0.252631, Z: 0.167315
Index: 27, X: -0.106748, Y: -0.23415, Z: 0.00884928
Index: 348, X: -0.293366, Y: -0.161475, Z: 0.0467469
Index: 206, X: -0.419357, Y: -0.437536, Z: -0.0344593
Index: 349, X: -0.229269, Y: -0.189494, Z: 0.161291
Index: 51, X: -0.413155, Y: -0.701311, Z: -0.0814306
Index: 115, X: -0.30458, Y: -0.405255, Z: -0.0581085
Index: 140, X: -0.306712, Y: -0.48814, Z: 0.0370432
Index: 124, X: -0.303154, Y: -0.620269, Z: -0.134173
Index: 209, X: -0.392185, Y: -0.734753, Z: -0.187198
Index: 265, X: -0.437626, Y: -0.650855, Z: -0.186456
Index: 93, X: -0.188411, Y: -0.566928, Z: -0.150337
Index: 8, X: 0.00959159, Y: -0.403211, Z: -0.247372
Index: 72, X: -0.0974351, Y: -0.492189, Z: -0.251812
Index: 122, X: -0.35368, Y: -0.602104, Z: 0.159787
Index: 186, X: -0.192483, Y: -0.386432, Z: -0.137379
Index: 311, X: -0.0842961, Y: -0.45111, Z: 0.142298
Index: 104, X: -0.0769313, Y: -0.450726, Z: -0.143287
Index: 229, X: -0.0404662, Y: -0.324572, Z: -0.243555
Index: 286, X: -0.263221, Y: -0.501963, Z: -0.0697327
Index: 350, X: -0.28422, Y: -0.0134216, Z: 0.157624
Index: 351, X: -0.21819, Y: -0.0751257, Z: 0.230528
Index: 47, X: -0.302108, Y: -0.575589, Z: 0.265268
Index: 352, X: -0.192975, Y: -0.118644, Z: 0.164482
Index: 230, X: -0.0192241, Y: -0.363649, Z: -0.168149
Index: 275, X: -0.11347, Y: -0.358442, Z: -0.248278
Index: 234, X: -0.385346, Y: -0.428851, Z: -0.165295
Index: 170, X: -0.0721569, Y: -0.278948, Z: -0.101463
Index: 42, X: -0.404381, Y: -0.7185, Z: 0.0632419
Index: 215, X: -0.184261, Y: -0.510372, Z: 0.258903
Index: 87, X: -0.337158, Y: -0.601184, Z: 0.00270176
Index: 121, X: -0.411192, Y: -0.531765, Z: 0.0723588
Index: 353, X: -0.444603, Y: -0.369054, Z: 0.172209
Index: 218, X: -0.24646, Y: -0.39622, Z: 0.0235035
Index: 345, X: -0.179966, Y: -0.488106, Z: -0.0598571
Index: 356, X: -0.360728, Y: -0.305995, Z: -0.0665817
Index: 163, X: -0.213063, Y: -0.30708, Z: -0.251463
Index: 280, X: -0.205706, Y: -0.243313, Z: -0.165391
Index: 312, X: -0.117082, Y: -0.305211, Z: -0.191262
Index: 363, X: -0.237966, Y: -0.265102, Z: -0.0344501
Index: 44, X: -0.0927145, Y: -0.243287, Z: -0.240409
Index: 302, X: -0.157964, Y: -0.247366, Z: -0.245034
Index: 32, X: -0.27476, Y: -0.391058, Z: 0.258612
Index: 123, X: -0.2782, Y: -0.500259, Z: 0.139275
Index: 261, X: -0.0398525, Y: -0.329734, Z: 0.119408
Index: 126, X: -0.269453, Y: -0.634709, Z: 0.0842493
Index: 171, X: -0.11294, Y: -0.383898, Z: 0.000887794
