t,force_x,force_y,force_z,force_mag,disp_x,disp_y,disp_z,disp_mag
0.00018675,-564.254,1112.88,533.527,1357.03,-0.0705318,0.13911,0.0666909,0.169629
0.017218,-486.682,1116.64,527.873,1327.55,-0.0608353,0.13958,0.0659841,0.165944
0.0342657,-429.475,1119.64,525.568,1309.3,-0.0536844,0.139955,0.0656959,0.163663
0.0509606,-376.499,1122.52,523.936,1294.72,-0.0470623,0.140315,0.065492,0.161841
0.0696644,-318.573,1125.51,522.6,1281.16,-0.0398216,0.140688,0.065325,0.160145
0.0888115,-259.952,1128.66,521.479,1270.2,-0.032494,0.141083,0.0651848,0.158774
0.120226,-165.951,1131.95,520.525,1256.9,-0.0207439,0.141494,0.0650656,0.157112
0.152083,-71.2002,1135.29,519.78,1250.65,-0.00890003,0.141911,0.0649725,0.156331
0.210731,101.396,1138.65,519.184,1255.53,0.0126746,0.142331,0.064898,0.156941
0.231452,162.667,1141.99,518.83,1264.83,0.0203334,0.142749,0.0648537,0.158104
0.248818,214.884,1145.34,518.404,1275.43,0.0268606,0.143168,0.0648006,0.159429
0.264461,262.253,1148.67,517.973,1287.06,0.0327816,0.143584,0.0647466,0.160882
0.280604,311.135,1151.97,517.545,1300.65,0.0388919,0.143996,0.0646931,0.162581
0.296052,357.994,1155.23,517.117,1315.34,0.0447492,0.144403,0.0646397,0.164418
0.312579,408.01,1158.45,516.685,1332.46,0.0510013,0.144807,0.0645856,0.166558
0.328336,455.747,1161.66,516.252,1350.43,0.0569684,0.145207,0.0645315,0.168804
0.345352,507.154,1164.84,515.811,1371.17,0.0633942,0.145604,0.0644764,0.171396
0.361149,554.959,1168,515.374,1392.05,0.0693698,0.146,0.0644218,0.174007
0.378571,607.504,1171.15,514.939,1416.26,0.0759381,0.146393,0.0643674,0.177033
0.394515,655.687,1174.28,514.513,1439.99,0.0819609,0.146785,0.0643141,0.179999
0.411585,707.16,1177.39,514.086,1466.5,0.0883949,0.147174,0.0642608,0.183312
0.427621,755.568,1180.49,513.672,1492.75,0.0944459,0.147562,0.064209,0.186594
0.446254,811.548,1183.58,513.265,1524.11,0.101443,0.147948,0.0641581,0.190514
0.4632,862.527,1186.65,512.881,1554.07,0.107816,0.148332,0.0641101,0.194259
0.482584,920.619,1189.72,512.501,1589.22,0.115077,0.148715,0.0640627,0.198653
0.498383,968.187,1192.77,512.141,1619.37,0.121023,0.149096,0.0640176,0.202422
0.515339,1019.18,1195.8,511.774,1652.45,0.127398,0.149475,0.0639718,0.206556
0.531543,1067.95,1198.83,511.421,1685.01,0.133494,0.149854,0.0639276,0.210626
0.547945,1117.29,1201.84,511.069,1718.7,0.139661,0.15023,0.0638837,0.214838
