run_index,run_name,poisson,stage,sim_time,imposed_displacement,actual_displacement,volume,volume_ratio
0,baseline,0.28,drag,0,0,0,0.777629,1
0,baseline,0.28,drag,0.01,0.00209205,0,0.777629,1
0,baseline,0.28,drag,0.02,0.0041841,0.00130135,0.777746,1.00015
0,baseline,0.28,drag,0.03,0.00627615,0.00503929,0.778072,1.00057
0,baseline,0.28,drag,0.04,0.0083682,0.00954166,0.77834,1.00091
0,baseline,0.28,drag,0.05,0.0104603,0.0119832,0.777994,1.00047
0,baseline,0.28,drag,0.06,0.0125523,0.0116626,0.777396,0.9997
0,baseline,0.28,drag,0.07,0.0146444,0.0111398,0.776855,0.999005
0,baseline,0.28,drag,0.08,0.0167364,0.013564,0.776581,0.998652
0,baseline,0.28,drag,0.09,0.0188285,0.0111238,0.775334,0.997048
0,baseline,0.28,drag,0.1,0.0209205,0.0171812,0.77378,0.995051
0,baseline,0.28,drag,0.11,0.0230126,0.0210987,0.771897,0.992628
0,baseline,0.28,drag,0.12,0.0251046,0.0207715,0.769707,0.989813
0,baseline,0.28,drag,0.13,0.0271967,0.0184914,0.766976,0.986301
0,baseline,0.28,drag,0.14,0.0292887,0.0217243,0.764334,0.982903
0,baseline,0.28,drag,0.15,0.0313808,0.032167,0.762802,0.980933
0,baseline,0.28,drag,0.16,0.0334728,0.0336182,0.759615,0.976835
0,baseline,0.28,drag,0.17,0.0355649,0.0272897,0.754629,0.970423
0,baseline,0.28,drag,0.18,0.0376569,0.0303773,0.74824,0.962206
0,baseline,0.28,drag,0.19,0.039749,0.0320481,0.742085,0.954292
0,baseline,0.28,drag,0.2,0.041841,0.0351767,0.737458,0.948342
0,baseline,0.28,drag,0.21,0.0439331,0.046029,0.733405,0.94313
0,baseline,0.28,drag,0.22,0.0460251,0.0513141,0.730289,0.939122
0,baseline,0.28,drag,0.23,0.0481172,0.0459863,0.727704,0.935798
0,baseline,0.28,drag,0.24,0.0502092,0.0376334,0.724364,0.931503
0,baseline,0.28,drag,0.25,0.0523013,0.0382595,0.722503,0.929111
0,baseline,0.28,drag,0.26,0.0543933,0.0568287,0.721694,0.92807
0,baseline,0.28,drag,0.27,0.0564854,0.0685459,0.721093,0.927296
0,baseline,0.28,drag,0.28,0.0585774,0.0539174,0.721301,0.927565
0,baseline,0.28,drag,0.29,0.0606695,0.0363661,0.722419,0.929001
