run_index,run_name,poisson,stage,sim_time,imposed_displacement,actual_displacement,volume,volume_ratio,vertex_index,pull_set_size,anchor_set_size,actual_displacement_mean,actual_displacement_rms,actual_displacement_min,actual_displacement_max
0,baseline,0.28,drag,0,0,3.57628e-07,0.777628,1,1328,60,345,-3.47694e-08,7.46725e-07,-2.02656e-06,1.99676e-06
0,baseline,0.28,drag,0,0,0,0.777628,1,1328,60,345,-9.07977e-07,1.26969e-06,-2.95043e-06,1.46031e-06
0,baseline,0.28,drag,0.01,0.00371815,0.00019294,0.777634,1.00001,1328,60,345,0.000508575,0.000529398,0.000145346,0.00069207
0,baseline,0.28,drag,0.02,0.0074363,0.000490189,0.777643,1.00002,1328,60,345,0.0012307,0.00127343,0.000374913,0.00162998
0,baseline,0.28,drag,0.03,0.0111545,0.000868499,0.777653,1.00003,1328,60,345,0.00204767,0.00210845,0.000678748,0.00264794
0,baseline,0.28,drag,0.04,0.0148726,0.0013161,0.777665,1.00005,1328,60,345,0.00292277,0.00299839,0.0010502,0.00371575
0,baseline,0.28,drag,0.05,0.0185908,0.0018217,0.777679,1.00007,1328,60,345,0.00384339,0.0039321,0.0014804,0.0048216
0,baseline,0.28,drag,0.06,0.0223089,0.00237456,0.777693,1.00008,1328,60,345,0.00479821,0.00489862,0.00195977,0.00595292
0,baseline,0.28,drag,0.07,0.0260271,0.00296533,0.777709,1.0001,1328,60,345,0.00577785,0.00588897,0.00247923,0.00710145
0,baseline,0.28,drag,0.08,0.0297452,0.00358585,0.777726,1.00013,1328,60,345,0.00677846,0.0068998,0.0030314,0.00826836
0,baseline,0.28,drag,0.09,0.0334634,0.0042316,0.777745,1.00015,1328,60,345,0.00779501,0.00792598,0.00361052,0.0094451
0,baseline,0.28,drag,0.1,0.0371815,0.00489885,0.777766,1.00018,1328,60,345,0.00882504,0.00896525,0.00421304,0.0106356
0,baseline,0.28,drag,0.11,0.0408997,0.00558478,0.777788,1.00021,1328,60,345,0.0098663,0.0100154,0.00483623,0.0118336
0,baseline,0.28,drag,0.12,0.0446178,0.00628847,0.777813,1.00024,1328,60,345,0.0109185,0.0110761,0.00547811,0.0130395
0,baseline,0.28,drag,0.13,0.048336,0.00700632,0.77784,1.00027,1328,60,345,0.0119798,0.0121456,0.00613508,0.0142512
0,baseline,0.28,drag,0.14,0.0520541,0.00773787,0.777868,1.00031,1328,60,345,0.0130496,0.0132233,0.00680718,0.015472
0,baseline,0.28,drag,0.15,0.0557723,0.00848129,0.777898,1.00035,1328,60,345,0.0141288,0.0143103,0.00749236,0.0166995
0,baseline,0.28,drag,0.16,0.0594904,0.0092378,0.77793,1.00039,1328,60,345,0.0152181,0.0154073,0.00819087,0.0179378
0,baseline,0.28,drag,0.17,0.0632086,0.0100066,0.777963,1.00043,1328,60,345,0.0163156,0.0165124,0.00890204,0.0191852
0,baseline,0.28,drag,0.18,0.0669267,0.0107863,0.777997,1.00047,1328,60,345,0.0174194,0.0176234,0.00962514,0.0204368
0,baseline,0.28,drag,0.19,0.0706449,0.0115763,0.778033,1.00052,1328,60,345,0.0185311,0.0187422,0.0103591,0.0216938
0,baseline,0.28,drag,0.2,0.074363,0.0123767,0.77807,1.00057,1328,60,345,0.019651,0.0198691,0.0111045,0.0229567
0,baseline,0.28,drag,0.21,0.0780812,0.0131876,0.778108,1.00062,1328,60,345,0.0207787,0.0210036,0.0118605,0.0242317
0,baseline,0.28,drag,0.22,0.0817993,0.0140076,0.778146,1.00067,1328,60,345,0.0219121,0.0221438,0.0126261,0.0255085
0,baseline,0.28,drag,0.23,0.0855175,0.014837,0.778186,1.00072,1328,60,345,0.0230536,0.0232919,0.0134017,0.0267952
0,baseline,0.28,drag,0.24,0.0892356,0.0156758,0.778226,1.00077,1328,60,345,0.0242,0.0244447,0.0141873,0.028083
0,baseline,0.28,drag,0.25,0.0929538,0.0165229,0.778267,1.00082,1328,60,345,0.0253529,0.025604,0.0149819,0.0293785
0,baseline,0.28,drag,0.26,0.0966719,0.0173776,0.778309,1.00088,1328,60,345,0.0265129,0.0267703,0.0157842,0.0306831
0,baseline,0.28,drag,0.27,0.10039,0.0182419,0.778352,1.00093,1328,60,345,0.027677,0.0279404,0.0165958,0.0319858
0,baseline,0.28,drag,0.28,0.104108,0.0191114,0.778395,1.00099,1328,60,345,0.0288467,0.0291162,0.0174138,0.0332976
0,baseline,0.28,drag,0.29,0.107826,0.0199894,0.778439,1.00104,1328,60,345,0.0300219,0.0302973,0.0182413,0.0346135
