runName,step,nu,volume,volume_ratio
,0,0.28,0.777629,1
baseline,0,0.28,0.777629,1
baseline,1,0.28,0.777629,1
baseline,2,0.28,0.777629,1
baseline,3,0.28,0.777629,1
baseline,4,0.28,0.777629,1
baseline,5,0.28,0.777629,1
baseline,6,0.28,0.777629,1
baseline,7,0.28,0.777629,1
baseline,8,0.28,0.777629,1
baseline,9,0.28,0.777629,1
baseline,10,0.28,0.777629,1
baseline,11,0.28,0.777629,1
baseline,12,0.28,0.777629,1
baseline,13,0.28,0.777629,1
baseline,14,0.28,0.777629,1
baseline,15,0.28,0.777629,1
baseline,16,0.28,0.777629,1
baseline,17,0.28,0.777629,1
baseline,18,0.28,0.777629,1
baseline,19,0.28,0.777629,1
baseline,20,0.28,0.777629,1
baseline,21,0.28,0.777629,1
baseline,22,0.28,0.777629,1
baseline,23,0.28,0.777629,1
baseline,24,0.28,0.777629,1
baseline,25,0.28,0.777629,1
baseline,26,0.28,0.777629,1
baseline,27,0.28,0.777629,1
baseline,28,0.28,0.777629,1
baseline,29,0.28,0.777629,1
baseline,30,0.28,0.777629,1
baseline,31,0.28,0.777629,1
baseline,32,0.28,0.777629,1
baseline,33,0.28,0.777629,1
baseline,34,0.28,0.777629,1
baseline,35,0.28,0.777629,1
baseline,36,0.28,0.777629,1
baseline,37,0.28,0.777629,1
baseline,38,0.28,0.777629,1
baseline,39,0.28,0.777629,1
baseline,40,0.28,0.777629,1
baseline,41,0.28,0.777629,1
baseline,42,0.28,0.777629,1
baseline,43,0.28,0.777629,1
baseline,44,0.28,0.777629,1
baseline,45,0.28,0.777629,1
baseline,46,0.28,0.777629,1
baseline,47,0.28,0.777629,1
baseline,48,0.28,0.777629,1
baseline,49,0.28,0.777629,1
baseline,50,0.28,0.777629,1
baseline,51,0.28,0.777629,1
baseline,52,0.28,0.777629,1
baseline,53,0.28,0.777629,1
baseline,54,0.28,0.777629,1
baseline,55,0.28,0.777629,1
baseline,56,0.28,0.777629,1
baseline,57,0.28,0.777629,1
baseline,58,0.28,0.777629,1
baseline,59,0.28,0.777629,1
baseline,60,0.28,0.777629,1
baseline,61,0.28,0.77763,1
baseline,62,0.28,0.77763,1
baseline,63,0.28,0.777632,1
baseline,64,0.28,0.777633,1
baseline,65,0.28,0.777635,1.00001
baseline,66,0.28,0.777636,1.00001
baseline,67,0.28,0.777638,1.00001
baseline,68,0.28,0.77764,1.00001
baseline,69,0.28,0.777642,1.00002
baseline,70,0.28,0.777644,1.00002
baseline,71,0.28,0.777647,1.00002
baseline,72,0.28,0.777649,1.00003
baseline,73,0.28,0.777651,1.00003
baseline,74,0.28,0.777653,1.00003
baseline,75,0.28,0.777655,1.00003
baseline,76,0.28,0.777657,1.00004
baseline,77,0.28,0.77766,1.00004
baseline,78,0.28,0.777662,1.00004
baseline,79,0.28,0.777664,1.00004
baseline,80,0.28,0.777666,1.00005
baseline,81,0.28,0.777667,1.00005
baseline,82,0.28,0.777669,1.00005
baseline,83,0.28,0.777671,1.00005
baseline,84,0.28,0.777673,1.00006
baseline,85,0.28,0.777675,1.00006
baseline,86,0.28,0.777677,1.00006
baseline,87,0.28,0.777679,1.00006
baseline,88,0.28,0.777681,1.00007
baseline,89,0.28,0.777682,1.00007
baseline,90,0.28,0.777684,1.00007
baseline,91,0.28,0.777686,1.00007
baseline,92,0.28,0.777688,1.00008
baseline,93,0.28,0.77769,1.00008
baseline,94,0.28,0.777692,1.00008
baseline,95,0.28,0.777694,1.00008
baseline,96,0.28,0.777695,1.00009
baseline,97,0.28,0.777697,1.00009
baseline,98,0.28,0.777699,1.00009
baseline,99,0.28,0.777701,1.00009
baseline,100,0.28,0.777703,1.00009
baseline,101,0.28,0.777705,1.0001
baseline,102,0.28,0.777707,1.0001
baseline,103,0.28,0.777708,1.0001
baseline,104,0.28,0.77771,1.0001
baseline,105,0.28,0.777712,1.00011
baseline,106,0.28,0.777714,1.00011
baseline,107,0.28,0.777716,1.00011
baseline,108,0.28,0.777718,1.00011
baseline,109,0.28,0.77772,1.00012
baseline,110,0.28,0.777721,1.00012
baseline,111,0.28,0.777723,1.00012
baseline,112,0.28,0.777725,1.00012
baseline,113,0.28,0.777727,1.00013
baseline,114,0.28,0.777729,1.00013
baseline,115,0.28,0.777731,1.00013
baseline,116,0.28,0.777732,1.00013
baseline,117,0.28,0.777734,1.00014
baseline,118,0.28,0.777736,1.00014
baseline,119,0.28,0.777738,1.00014
baseline,120,0.28,0.77774,1.00014
baseline,121,0.28,0.777742,1.00014
baseline,122,0.28,0.777743,1.00015
baseline,123,0.28,0.777745,1.00015
baseline,124,0.28,0.777747,1.00015
baseline,125,0.28,0.777749,1.00015
baseline,126,0.28,0.777751,1.00016
baseline,127,0.28,0.777753,1.00016
baseline,128,0.28,0.777754,1.00016
baseline,129,0.28,0.777756,1.00016
baseline,130,0.28,0.777758,1.00017
baseline,131,0.28,0.77776,1.00017
baseline,132,0.28,0.777762,1.00017
baseline,133,0.28,0.777763,1.00017
baseline,134,0.28,0.777765,1.00018
baseline,135,0.28,0.777767,1.00018
baseline,136,0.28,0.777769,1.00018
baseline,137,0.28,0.777771,1.00018
baseline,138,0.28,0.777773,1.00018
baseline,139,0.28,0.777774,1.00019
baseline,140,0.28,0.777776,1.00019
baseline,141,0.28,0.777778,1.00019
baseline,142,0.28,0.77778,1.00019
baseline,143,0.28,0.777782,1.0002
baseline,144,0.28,0.777783,1.0002
baseline,145,0.28,0.777785,1.0002
baseline,146,0.28,0.777787,1.0002
baseline,147,0.28,0.777789,1.00021
baseline,148,0.28,0.777791,1.00021
baseline,149,0.28,0.777792,1.00021
baseline,150,0.28,0.777794,1.00021
baseline,151,0.28,0.777796,1.00021
baseline,152,0.28,0.777798,1.00022
baseline,153,0.28,0.7778,1.00022
baseline,154,0.28,0.777801,1.00022
baseline,155,0.28,0.777803,1.00022
baseline,156,0.28,0.777805,1.00023
baseline,157,0.28,0.777807,1.00023
baseline,158,0.28,0.777809,1.00023
baseline,159,0.28,0.77781,1.00023
baseline,160,0.28,0.777812,1.00024
baseline,161,0.28,0.777814,1.00024
baseline,162,0.28,0.777816,1.00024
baseline,163,0.28,0.777817,1.00024
baseline,164,0.28,0.777819,1.00024
baseline,165,0.28,0.777821,1.00025
baseline,166,0.28,0.777823,1.00025
baseline,167,0.28,0.777825,1.00025
baseline,168,0.28,0.777826,1.00025
baseline,169,0.28,0.777828,1.00026
baseline,170,0.28,0.77783,1.00026
baseline,171,0.28,0.777832,1.00026
baseline,172,0.28,0.777833,1.00026
baseline,173,0.28,0.777835,1.00026
