runName,step,nu,volume,volume_ratio,displacement
,0,0.28,0.777629,1,2.47235e-17
incompressible,0,0.49,0.777629,1,8.28833e-17
incompressible,1,0.49,0.777629,1,1.15526e-16
incompressible,2,0.49,0.777629,1,1.05229e-16
incompressible,3,0.49,0.777629,1,1.66569e-16
incompressible,4,0.49,0.777629,1,2.82224e-16
incompressible,5,0.49,0.777629,1,2.01355e-16
incompressible,6,0.49,0.777629,1,1.5072e-16
incompressible,7,0.49,0.777629,1,1.38611e-16
incompressible,8,0.49,0.777629,1,1.87459e-16
incompressible,9,0.49,0.777629,1,3.02135e-16
incompressible,10,0.49,0.777629,1,2.69768e-16
incompressible,11,0.49,0.777629,1,1.65133e-16
incompressible,12,0.49,0.777629,1,1.41041e-16
incompressible,13,0.49,0.777629,1,7.9938e-17
incompressible,14,0.49,0.777629,1,1.18752e-16
incompressible,15,0.49,0.777629,1,5.73018e-17
incompressible,16,0.49,0.777629,1,7.54266e-17
incompressible,17,0.49,0.777629,1,9.31558e-17
incompressible,18,0.49,0.777629,1,1.07698e-16
incompressible,19,0.49,0.777629,1,1.86182e-16
incompressible,20,0.49,0.777629,1,1.93144e-16
incompressible,21,0.49,0.777629,1,2.38422e-16
incompressible,22,0.49,0.777629,1,1.62405e-16
incompressible,23,0.49,0.777629,1,5.80821e-17
incompressible,24,0.49,0.777629,1,5.42389e-17
incompressible,25,0.49,0.777629,1,1.16084e-16
incompressible,26,0.49,0.777629,1,2.14073e-16
incompressible,27,0.49,0.777629,1,1.84919e-16
incompressible,28,0.49,0.777629,1,2.02147e-16
incompressible,29,0.49,0.777629,1,1.81663e-16
incompressible,30,0.49,0.777629,1,2.00979e-16
incompressible,31,0.49,0.777629,1,1.64017e-16
incompressible,32,0.49,0.777629,1,3.77403e-17
incompressible,33,0.49,0.777629,1,3.03937e-17
incompressible,34,0.49,0.777629,1,6.83445e-17
incompressible,35,0.49,0.777629,1,7.34909e-17
incompressible,36,0.49,0.777629,1,4.05292e-17
incompressible,37,0.49,0.777629,1,1.09259e-16
incompressible,38,0.49,0.777629,1,1.62545e-17
incompressible,39,0.49,0.777629,1,1.74e-16
incompressible,40,0.49,0.777629,1,1.39653e-16
incompressible,41,0.49,0.777629,1,2.32018e-16
incompressible,42,0.49,0.777629,1,2.57294e-16
incompressible,43,0.49,0.777629,1,1.64438e-16
incompressible,44,0.49,0.777629,1,1.40603e-16
incompressible,45,0.49,0.777629,1,1.53106e-16
incompressible,46,0.49,0.777629,1,1.28457e-16
incompressible,47,0.49,0.777629,1,2.4737e-16
incompressible,48,0.49,0.777629,1,2.07344e-16
incompressible,49,0.49,0.777629,1,7.36886e-17
incompressible,50,0.49,0.777629,1,1.20318e-16
incompressible,51,0.49,0.777629,1,2.13528e-16
incompressible,52,0.49,0.777629,1,1.8568e-16
incompressible,53,0.49,0.777629,1,9.65911e-17
incompressible,54,0.49,0.777629,1,2.39124e-16
incompressible,55,0.49,0.777629,1,1.93861e-16
incompressible,56,0.49,0.777629,1,2.25313e-16
incompressible,57,0.49,0.777629,1,1.90918e-16
incompressible,58,0.49,0.777629,1,2.16343e-16
incompressible,59,0.49,0.777629,1,1.35907e-16
incompressible,60,0.49,0.777629,1,1.96166e-16
incompressible,61,0.49,0.77763,1,6.17917e-06
incompressible,62,0.49,0.777632,1,2.3607e-05
incompressible,63,0.49,0.777635,1.00001,5.6631e-05
incompressible,64,0.49,0.777638,1.00001,0.00010902
incompressible,65,0.49,0.777642,1.00002,0.000184052
incompressible,66,0.49,0.777647,1.00002,0.00028458
incompressible,67,0.49,0.777651,1.00003,0.000413084
incompressible,68,0.49,0.777656,1.00003,0.000571714
incompressible,69,0.49,0.777661,1.00004,0.000762328
incompressible,70,0.49,0.777666,1.00005,0.000986522
incompressible,71,0.49,0.777671,1.00005,0.00124565
incompressible,72,0.49,0.777676,1.00006,0.00154088
incompressible,73,0.49,0.777681,1.00007,0.00187315
incompressible,74,0.49,0.777687,1.00007,0.00224325
incompressible,75,0.49,0.777693,1.00008,0.00265184
incompressible,76,0.49,0.777698,1.00009,0.0030994
incompressible,77,0.49,0.777704,1.0001,0.00358631
incompressible,78,0.49,0.77771,1.0001,0.00411285
incompressible,79,0.49,0.777716,1.00011,0.00467919
incompressible,80,0.49,0.777722,1.00012,0.00528543
incompressible,81,0.49,0.777727,1.00013,0.00593158
incompressible,82,0.49,0.777733,1.00013,0.00661758
incompressible,83,0.49,0.777739,1.00014,0.00734334
incompressible,84,0.49,0.777745,1.00015,0.0081087
incompressible,85,0.49,0.77775,1.00016,0.00891345
incompressible,86,0.49,0.777756,1.00016,0.00975735
incompressible,87,0.49,0.777761,1.00017,0.0106401
incompressible,88,0.49,0.777766,1.00018,0.0115615
incompressible,89,0.49,0.777771,1.00018,0.0125211
incompressible,90,0.49,0.777776,1.00019,0.0135186
incompressible,91,0.49,0.777781,1.00019,0.0145536
incompressible,92,0.49,0.777785,1.0002,0.0156258
incompressible,93,0.49,0.777789,1.00021,0.0167347
incompressible,94,0.49,0.777793,1.00021,0.01788
incompressible,95,0.49,0.777796,1.00021,0.0190613
incompressible,96,0.49,0.777799,1.00022,0.0202781
incompressible,97,0.49,0.777802,1.00022,0.02153
incompressible,98,0.49,0.777804,1.00023,0.0228166
incompressible,99,0.49,0.777806,1.00023,0.0241374
incompressible,100,0.49,0.777808,1.00023,0.0254921
incompressible,101,0.49,0.777809,1.00023,0.0268801
incompressible,102,0.49,0.77781,1.00023,0.0283012
incompressible,103,0.49,0.77781,1.00023,0.0297548
incompressible,104,0.49,0.77781,1.00023,0.0312405
incompressible,105,0.49,0.777809,1.00023,0.0327579
incompressible,106,0.49,0.777808,1.00023,0.0343066
incompressible,107,0.49,0.777807,1.00023,0.0358861
incompressible,108,0.49,0.777804,1.00023,0.037496
incompressible,109,0.49,0.777802,1.00022,0.039136
incompressible,110,0.49,0.777798,1.00022,0.0408056
incompressible,111,0.49,0.777795,1.00021,0.0425045
incompressible,112,0.49,0.77779,1.00021,0.0442321
incompressible,113,0.49,0.777785,1.0002,0.0459883
incompressible,114,0.49,0.777779,1.00019,0.0477725
incompressible,115,0.49,0.777773,1.00018,0.0495843
incompressible,116,0.49,0.777766,1.00018,0.0514236
incompressible,117,0.49,0.777758,1.00017,0.0532898
incompressible,118,0.49,0.77775,1.00016,0.0551827
incompressible,119,0.49,0.777741,1.00014,0.0571019
incompressible,120,0.49,0.777731,1.00013,0.0590471
incompressible,121,0.49,0.777721,1.00012,0.061018
incompressible,122,0.49,0.77771,1.0001,0.0630143
incompressible,123,0.49,0.777698,1.00009,0.0650357
incompressible,124,0.49,0.777685,1.00007,0.067082
incompressible,125,0.49,0.777672,1.00005,0.0691527
incompressible,126,0.49,0.777658,1.00004,0.0712478
incompressible,127,0.49,0.777643,1.00002,0.0733669
incompressible,128,0.49,0.777627,0.999997,0.0755099
incompressible,129,0.49,0.77761,0.999976,0.0776764
incompressible,130,0.49,0.777593,0.999953,0.0798662
incompressible,131,0.49,0.777574,0.99993,0.0820793
incompressible,132,0.49,0.777555,0.999905,0.0843153
incompressible,133,0.49,0.777535,0.999879,0.086574
incompressible,134,0.49,0.777514,0.999852,0.0888554
incompressible,135,0.49,0.777492,0.999824,0.0911591
incompressible,136,0.49,0.777469,0.999795,0.0934851
incompressible,137,0.49,0.777446,0.999764,0.0958331
incompressible,138,0.49,0.777421,0.999732,0.0982031
incompressible,139,0.49,0.777395,0.999699,0.100595
incompressible,140,0.49,0.777369,0.999665,0.103008
incompressible,141,0.49,0.777341,0.99963,0.105443
incompressible,142,0.49,0.777313,0.999593,0.107899
incompressible,143,0.49,0.777283,0.999555,0.110377
incompressible,144,0.49,0.777252,0.999516,0.112876
incompressible,145,0.49,0.777221,0.999475,0.115395
incompressible,146,0.49,0.777188,0.999433,0.117936
incompressible,147,0.49,0.777154,0.999389,0.120497
incompressible,148,0.49,0.777119,0.999345,0.123079
incompressible,149,0.49,0.777083,0.999298,0.125682
incompressible,150,0.49,0.777046,0.999251,0.128305
incompressible,151,0.49,0.777008,0.999202,0.130948
incompressible,152,0.49,0.776969,0.999151,0.133612
incompressible,153,0.49,0.776928,0.999099,0.136296
incompressible,154,0.49,0.776887,0.999045,0.139
incompressible,155,0.49,0.776844,0.99899,0.141724
incompressible,156,0.49,0.7768,0.998934,0.144468
incompressible,157,0.49,0.776755,0.998876,0.147232
incompressible,158,0.49,0.776708,0.998816,0.150015
incompressible,159,0.49,0.776661,0.998755,0.152818
incompressible,160,0.49,0.776612,0.998692,0.155641
incompressible,161,0.49,0.776562,0.998627,0.158483
incompressible,162,0.49,0.77651,0.998561,0.161345
incompressible,163,0.49,0.776458,0.998494,0.164226
incompressible,164,0.49,0.776404,0.998424,0.167126
incompressible,165,0.49,0.776348,0.998353,0.170045
incompressible,166,0.49,0.776292,0.99828,0.172983
incompressible,167,0.49,0.776234,0.998206,0.17594
incompressible,168,0.49,0.776175,0.998129,0.178916
incompressible,169,0.49,0.776114,0.998051,0.18191
incompressible,170,0.49,0.776052,0.997972,0.184923
incompressible,171,0.49,0.775988,0.99789,0.187955
incompressible,172,0.49,0.775923,0.997806,0.191005
incompressible,173,0.49,0.775857,0.997721,0.194074
incompressible,174,0.49,0.775789,0.997634,0.19716
incompressible,175,0.49,0.77572,0.997545,0.200265
incompressible,176,0.49,0.775649,0.997454,0.203387
incompressible,177,0.49,0.775577,0.997361,0.206528
incompressible,178,0.49,0.775504,0.997267,0.209686
incompressible,179,0.49,0.775428,0.99717,0.212862
incompressible,180,0.49,0.775352,0.997071,0.216055
incompressible,181,0.49,0.775273,0.996971,0.219266
incompressible,182,0.49,0.775194,0.996868,0.222494
incompressible,183,0.49,0.775112,0.996763,0.22574
incompressible,184,0.49,0.775029,0.996657,0.229002
incompressible,185,0.49,0.774945,0.996548,0.232281
incompressible,186,0.49,0.774859,0.996437,0.235577
incompressible,187,0.49,0.774771,0.996324,0.238889
incompressible,188,0.49,0.774681,0.996209,0.242218
incompressible,189,0.49,0.77459,0.996092,0.245564
incompressible,190,0.49,0.774498,0.995973,0.248925
incompressible,191,0.49,0.774403,0.995851,0.252303
incompressible,192,0.49,0.774307,0.995728,0.255696
incompressible,193,0.49,0.774209,0.995602,0.259106
incompressible,194,0.49,0.77411,0.995474,0.262531
incompressible,195,0.49,0.774008,0.995344,0.265971
incompressible,196,0.49,0.773905,0.995211,0.269427
incompressible,197,0.49,0.7738,0.995076,0.272898
incompressible,198,0.49,0.773694,0.994939,0.276384
incompressible,199,0.49,0.773586,0.9948,0.279884
incompressible,200,0.49,0.773475,0.994658,0.2834
incompressible,201,0.49,0.773363,0.994514,0.28693
incompressible,202,0.49,0.77325,0.994368,0.290475
incompressible,203,0.49,0.773134,0.994219,0.294033
incompressible,204,0.49,0.773016,0.994068,0.297606
incompressible,205,0.49,0.772897,0.993915,0.301193
incompressible,206,0.49,0.772776,0.993759,0.304793
incompressible,207,0.49,0.772653,0.9936,0.308407
incompressible,208,0.49,0.772528,0.99344,0.312034
incompressible,209,0.49,0.772401,0.993276,0.315675
incompressible,210,0.49,0.772272,0.993111,0.319329
incompressible,211,0.49,0.772141,0.992942,0.322995
incompressible,212,0.49,0.772008,0.992772,0.326674
incompressible,213,0.49,0.771873,0.992598,0.330366
incompressible,214,0.49,0.771737,0.992422,0.33407
incompressible,215,0.49,0.771598,0.992244,0.337786
incompressible,216,0.49,0.771457,0.992063,0.341514
incompressible,217,0.49,0.771315,0.99188,0.345254
