run_index,material,axis,sim_time,imposed_displacement,actual_displacement,force_total,force_target,vertex_index,fiber_axis
0,isotropic,x,0,0,0,0,0,1328,na
0,isotropic,x,0,0,0.00199996,583.836,2.24995,1328,na
0,isotropic,x,0.01,0.00155482,0.00387108,1217.96,4.69413,1328,na
0,isotropic,x,0.02,0.0031096,0.00555741,1844.57,7.11281,1328,na
0,isotropic,x,0.03,0.00466442,0.00704827,2407.29,9.29853,1328,na
0,isotropic,x,0.04,0.00621924,0.00835674,2897.25,11.215,1328,na
0,isotropic,x,0.05,0.00777406,0.00950688,3312.29,12.8643,1328,na
0,isotropic,x,0.06,0.00932884,0.0105281,3656.52,14.2631,1328,na
0,isotropic,x,0.07,0.0108837,0.0114525,3940.65,15.4353,1328,na
0,isotropic,x,0.08,0.0124385,0.0123128,4167.96,16.4081,1328,na
0,isotropic,x,0.09,0.0139933,0.0131397,4346.99,17.21,1328,na
0,isotropic,x,0.1,0.0155481,0.0139603,4488.4,17.8688,1328,na
0,isotropic,x,0.11,0.0171029,0.0147957,4602.54,18.4102,1328,na
0,isotropic,x,0.12,0.0186577,0.0156615,4689.69,18.8572,1328,na
0,isotropic,x,0.13,0.0202125,0.0165672,4750.05,19.2295,1328,na
0,isotropic,x,0.14,0.0217673,0.0175178,4800.8,19.5436,1328,na
0,isotropic,x,0.15,0.0233221,0.0185148,4838.81,19.8128,1328,na
0,isotropic,x,0.16,0.024877,0.0195568,4867.56,20.048,1328,na
0,isotropic,x,0.17,0.0264317,0.0206412,4885.87,20.2574,1328,na
0,isotropic,x,0.18,0.0279866,0.0217645,4904.47,20.4476,1328,na
0,isotropic,x,0.19,0.0295414,0.0229227,4919.79,20.6233,1328,na
0,isotropic,x,0.2,0.0310962,0.024112,4925.12,20.7881,1328,na
0,isotropic,x,0.21,0.032651,0.025329,4932.87,20.9446,1328,na
0,isotropic,x,0.22,0.0342058,0.0265702,4934.56,21.0948,1328,na
0,isotropic,x,0.23,0.0357606,0.0278328,4939.01,21.2399,1328,na
0,isotropic,x,0.24,0.0373154,0.0291142,4932.05,21.3808,1328,na
0,isotropic,x,0.25,0.0388702,0.0304123,4936.96,21.5182,1328,na
0,isotropic,x,0.26,0.040425,0.0317251,4939.19,21.6526,1328,na
0,isotropic,x,0.27,0.0419798,0.033051,4935.54,21.7843,1328,na
0,isotropic,x,0.28,0.0435346,0.0343885,4937.15,21.9136,1328,na
0,isotropic,x,0.29,0.0450895,0.0357365,4932.87,22.0407,1328,na
0,isotropic,x,0.3,0.0466443,0.0370938,4927.95,22.1657,1328,na
0,isotropic,x,0.31,0.0481991,0.0384597,4928.95,22.2888,1328,na
0,isotropic,x,0.32,0.0497539,0.0398332,4926.27,22.4101,1328,na
0,isotropic,x,0.33,0.0513087,0.0412136,4918.67,22.5298,1328,na
0,isotropic,x,0.34,0.0528635,0.0426004,4910.46,22.6481,1328,na
0,isotropic,x,0.35,0.0544183,0.043993,4907.1,22.765,1328,na
0,isotropic,x,0.36,0.0559731,0.0453908,4902.53,22.8807,1328,na
0,isotropic,x,0.37,0.0575279,0.0467936,4885.99,22.9952,1328,na
0,isotropic,x,0.38,0.0590827,0.0482008,4878.29,23.1088,1328,na
0,isotropic,x,0.39,0.0606376,0.0496121,4870.78,23.2216,1328,na
0,isotropic,x,0.4,0.0621924,0.0510271,4858.28,23.3337,1328,na
0,isotropic,x,0.41,0.0637471,0.0524457,4851.94,23.445,1328,na
0,isotropic,x,0.42,0.065302,0.0538676,4843.85,23.5559,1328,na
0,isotropic,x,0.43,0.0668568,0.0552924,4838.61,23.6662,1328,na
0,isotropic,x,0.44,0.0684116,0.0567201,4829.94,23.7761,1328,na
0,isotropic,x,0.45,0.0699664,0.0581503,4821,23.8858,1328,na
0,isotropic,x,0.46,0.0715212,0.059583,4810.9,23.9951,1328,na
0,isotropic,x,0.47,0.073076,0.0610179,4796.63,24.1043,1328,na
0,isotropic,x,0.48,0.0746308,0.062455,4786.87,24.2133,1328,na
0,isotropic,x,0.49,0.0761856,0.063894,4776.84,24.3222,1328,na
0,isotropic,x,0.5,0.0777405,0.065335,4763.33,24.431,1328,na
0,isotropic,x,0.51,0.0792952,0.0667776,4753.13,24.5397,1328,na
0,isotropic,x,0.52,0.0808501,0.0682218,4745.61,24.6486,1328,na
0,isotropic,x,0.53,0.0824049,0.0696676,4741.37,24.7574,1328,na
0,isotropic,x,0.54,0.0839597,0.0711148,4736.62,24.8664,1328,na
0,isotropic,x,0.55,0.0855145,0.0725633,4726.32,24.9756,1328,na
0,isotropic,x,0.56,0.0870693,0.074013,4712.98,25.0849,1328,na
0,isotropic,x,0.57,0.0886241,0.0754639,4698.67,25.1944,1328,na
