mesh_label,mesh_source,tetgen_args,target_tets,tet_count,point_count,max_volume,threads,pbd_iterations,warmup_frames,measure_frames,seconds,fps,ms_mean,ms_prime_mean,ms_pbd_mean,baseline_threads,baseline_fps,speedup,efficiency
target1000,models/liver_HD_Low.stl,pq20a0.0680298656,1000,6111,2066,0.0680299,1,10,60,240,3.27842,73.206,13.6601,9.54148,4.11859,1,73.206,1,1
target1000,models/liver_HD_Low.stl,pq20a0.0680298656,1000,6111,2066,0.0680299,10,10,60,240,0.902697,265.87,3.76124,2.14207,1.61915,1,73.206,3.6318,0.36318
target10000,models/liver_HD_Low.stl,pq20a0.0155251706,10000,6111,2066,0.0155252,1,10,60,240,3.4018,70.5509,14.1742,9.65075,4.52337,1,70.5509,1,1
target10000,models/liver_HD_Low.stl,pq20a0.0155251706,10000,6111,2066,0.0155252,10,10,60,240,0.919998,260.87,3.83333,2.15732,1.67597,1,70.5509,3.69761,0.369761
target20000,models/liver_HD_Low.stl,pq20a0.000465858204,20000,7790,2317,0.000465858,1,10,60,240,4.25907,56.3503,17.7461,12.0849,5.66117,1,56.3503,1,1
target20000,models/liver_HD_Low.stl,pq20a0.000465858204,20000,7790,2317,0.000465858,10,10,60,240,1.09468,219.242,4.56117,2.74428,1.81686,1,56.3503,3.89069,0.389069
target40000,models/liver_HD_Low.stl,pq20a4.30698419e-05,40000,35486,7121,4.30698e-05,1,10,60,240,51.9756,4.61755,216.565,179.983,36.5821,1,4.61755,1,1
target40000,models/liver_HD_Low.stl,pq20a4.30698419e-05,40000,35486,7121,4.30698e-05,10,10,60,240,11.8244,20.297,49.2684,41.459,7.80937,1,4.61755,4.39561,0.439561
target65000,models/liver_HD_Low.stl,pq20a2.35134848e-05,65000,61988,11840,2.35135e-05,1,10,60,240,171.153,1.40225,713.139,637.261,75.8777,1,1.40225,1,1
target65000,models/liver_HD_Low.stl,pq20a2.35134848e-05,65000,61988,11840,2.35135e-05,10,10,60,240,44.2187,5.42757,184.244,168.064,16.1799,1,1.40225,3.87061,0.387061
